"simulation","final_npv_A","final_npv_B","total_profit_A","total_profit_B","avg_satisfaction_A","avg_satisfaction_B","avg_market_share_A","avg_market_share_B","n_shocks_A","n_shocks_B","winner"
113,8485357.93489063,7677878.08609151,10710000,10008000,95.7557066730295,45.6497141044939,0.525924185463659,0.474075814536341,5,0,"A"
114,8387785.12711064,7740840.28375118,10535000,10103000,92.3771659774673,43.4917710374599,0.52109993254471,0.47890006745529,4,2,"A"
115,8757516.61716939,7659484.66533629,10965000,10003000,96.2266165592937,47.8076571715278,0.525226751069679,0.474773248930321,5,2,"A"
116,8703213.56122258,7638841.72517843,10910000,9973000,96.25,56.7868232465234,0.527206729673835,0.472793270326165,3,0,"A"
117,8661504.27137895,7677878.08609151,10870000,10008000,96.008900890089,45.6497141044939,0.525924185463659,0.474075814536341,1,0,"A"
118,8538346.09189901,7749551.60514002,10720000,10088000,96.25,40.5784316597937,0.520631398363704,0.479368601636296,3,7,"A"
119,8661504.27137895,7574843.23322799,10870000,9838000,96.25,46.0569684662937,0.525924185463659,0.474075814536341,0,5,"A"
120,8618864.9741562,7711289.29023447,10815000,10053000,96.25,45.6497141044939,0.522862280263596,0.477137719736404,1,3,"A"
121,8451984.60616936,7692655.22276897,10600000,10013000,96.2186630080331,43.1311190631715,0.525383810027204,0.474616189972796,4,3,"A"
122,8629655.94227027,7778137.87499154,10835000,10133000,96.25,43.6869041871385,0.523748726644291,0.476251273355709,1,3,"A"
123,8550260.19834293,7740645.51225811,10730000,10093000,96.25,42.7227168593148,0.52083661952083,0.47916338047917,4,8,"A"
124,8661504.27137895,7677878.08609151,10870000,10008000,96.25,45.6497141044939,0.525924185463659,0.474075814536341,0,0,"A"
125,8661504.27137895,7677878.08609151,10870000,10008000,96.25,45.6497141044939,0.525924185463659,0.474075814536341,0,0,"A"
126,8680357.48547319,7679324.83328708,10900000,10008000,96.25,49.4745534066059,0.52618682239421,0.47381317760579,3,3,"A"
127,8756000.54247471,7690280.64813172,10980000,10013000,96.25,43.5491631403065,0.525924185463659,0.474075814536341,4,3,"A"
128,8661504.27137895,7677878.08609151,10870000,10008000,96.25,45.6497141044939,0.525924185463659,0.474075814536341,0,0,"A"
129,8661504.27137895,7677878.08609151,10870000,10008000,96.25,45.6497141044939,0.525924185463659,0.474075814536341,2,0,"A"
130,8661504.27137895,7683652.06140983,10870000,10013000,96.25,45.0298793937501,0.526067773600668,0.473932226399332,4,2,"A"
131,8663273.58771711,7684447.4261761,10870000,10023000,96.0055194495827,48.393286188975,0.524986987640304,0.475013012359696,2,3,"A"
132,8732614.86103751,7619645.07785228,10970000,9923000,96.25,47.6618812302973,0.531168782196743,0.468831217803257,5,0,"A"
133,8354327.16658124,7740869.66364523,10445000,10088000,96.25,40.5377486501809,0.523757295659828,0.476242704340172,3,2,"A"
134,8662851.69542495,7682930.76119448,10860000,10033000,93.1676297379824,84.2133447880871,0.524152049830504,0.475847950169496,4,3,"A"
135,8661504.27137895,7585605.5682646,10870000,9858000,96.25,45.6497141044939,0.525924185463659,0.474075814536341,0,3,"A"
136,8490985.6046362,7677878.08609151,10680000,10008000,96.25,45.6497141044939,0.525924185463659,0.474075814536341,5,2,"A"
137,8738936.61382894,7612534.51038017,10970000,9923000,96.25,46.349897759223,0.531261509982727,0.468738490017273,4,2,"A"
138,8607866.55457073,7402858.10096499,10790000,9753000,96.25,87.6101739039883,0.522013160799803,0.477986839200197,2,7,"A"
139,8690677.10116395,7466042.85188781,10890000,9708000,96.25,53.805361487414,0.527718677697219,0.472281322302781,4,4,"A"
140,8661504.27137895,7719112.97988542,10870000,10068000,96.25,45.339796749122,0.525924185463659,0.474075814536341,0,2,"A"
141,8793909.26041434,7515094.39196793,11025000,9773000,95.3879543466158,51.6118353166151,0.52583028333507,0.47416971666493,3,4,"A"
142,8402856.51804066,7834089.0173894,10605000,10153000,95.9833483348335,26.2816281340447,0.516735275265451,0.483264724734548,3,8,"A"
143,8743041.30265687,7659282.974466,10990000,9973000,96.2196174341844,46.7631208997188,0.531097125467051,0.468902874532949,4,4,"A"
144,8566779.24603035,7554549.0525817,10750000,9858000,96.25,56.06133026611,0.520368935536324,0.479631064463676,0,5,"A"
145,8667375.6508016,7742123.57984918,10865000,10113000,96.25,48.9366746187271,0.525376380845131,0.474623619154869,2,4,"A"
146,8837835.56581255,7621530.18795302,11065000,9943000,95.3286009703333,50.0000355002698,0.527809383163416,0.472190616836585,3,2,"A"
147,8716898.05087187,7633406.30261371,10940000,9953000,96.25,46.349897759223,0.529254441898266,0.470745558101734,3,4,"A"
148,8719518.85766596,7568567.50830078,10960000,9853000,96.25,43.009677373548,0.531549876944614,0.468450123055386,5,1,"A"
149,8661163.40661376,7672978.51224722,10865000,10013000,93.2870713295225,50.3200159987883,0.52518703304578,0.47481296695422,1,1,"A"
150,8629655.94227027,7709240.57963403,10835000,10043000,96.25,45.6497141044939,0.523748726644291,0.476251273355709,0,1,"A"
151,8699414.35714883,7642441.87641014,10905000,9978000,96.1489148914891,56.7868232465234,0.527207551220709,0.472792448779291,4,0,"A"
152,8661504.27137895,7677878.08609151,10870000,10008000,96.227797779778,45.6497141044939,0.525924185463659,0.474075814536341,3,0,"A"
153,8694276.01058564,7646543.64685997,10915000,9963000,96.25,45.7530198896178,0.528328008547079,0.471671991452921,1,0,"A"
154,8661504.27137895,7655382.93899407,10870000,9978000,96.25,41.3108711292872,0.526067773600668,0.473932226399332,1,1,"A"
155,8588276.04834091,7738074.9054681,10780000,10083000,96.1289128912891,40.3540939210716,0.522973131731355,0.477026868268645,3,2,"A"
156,8596058.97159691,7536008.66463375,10795000,9838000,96.25,50.641449641684,0.522100112971823,0.477899887028176,0,8,"A"
157,8610562.11839208,7620245.58915535,10820000,9923000,96.25,45.6497141044939,0.53110731959938,0.46889268040062,7,0,"A"
158,8938334.82161909,7605389.3602368,11185000,9918000,90.9129820975935,45.4660593753846,0.525421626984127,0.474578373015873,4,1,"A"
159,8609586.92638515,7785917.30061191,10790000,10148000,96.25,45.6497141044939,0.521906213723648,0.478093786276352,0,7,"A"
160,8362104.58733726,7664910.91308758,10565000,9983000,96.2345701105544,47.7043513864039,0.525714855690185,0.474285144309815,6,2,"A"
161,8889199.73728715,7720423.25505001,11145000,10048000,95.42523661815,41.8065732299565,0.529054872393688,0.470945127606312,7,2,"A"
162,8651067.20411963,7492218.24527654,10875000,9738000,96.1489148914891,41.7036626811697,0.527170458289455,0.472829541710545,4,6,"A"
163,8692419.86829001,7648412.62329578,10910000,9968000,96.25,45.6497141044939,0.528595295248256,0.471404704751744,3,0,"A"
164,8433438.40310188,7677878.08609151,10610000,10008000,96.25,45.6497141044939,0.525924185463659,0.474075814536341,3,1,"A"
165,8403559.92570036,7705559.84143958,10565000,10053000,96.25,45.6497141044939,0.522835990763622,0.477164009236378,3,3,"A"
166,8470382.97814067,7617110.88780633,10630000,9953000,96.25,53.8740616095349,0.527612748439229,0.472387251560771,5,2,"A"
167,8460414.95554302,7651880.96742673,10595000,9963000,96.25,45.6497141044939,0.52834686038126,0.471653139618741,4,2,"A"
168,8711779.68494463,7662822.5322399,10930000,10008000,96.2266165592937,50.2254716802514,0.527607697101068,0.472392302898932,1,2,"A"
169,8661504.27137895,7677878.08609151,10870000,10008000,96.25,45.6497141044939,0.525924185463659,0.474075814536341,0,0,"A"
170,8691894.94747591,7288792.94015844,10845000,9473000,91.2179644787485,58.1458114415003,0.527130740350313,0.472869259649687,7,8,"A"
171,8458106.91600628,7566507.40561496,10635000,9858000,96.25,45.6497141044939,0.525924185463659,0.474075814536341,3,3,"A"
172,8846095.3128753,7715794.59480722,11080000,10073000,94.2690288713911,45.3742320108299,0.522932912941137,0.477067087058863,6,2,"A"
173,8673236.63394517,7671217.96832926,10880000,10008000,96.2266165592937,50.2254716802514,0.524650160734814,0.475349839265186,1,2,"A"
174,8661504.27137895,7615030.47948602,10870000,9938000,96.0467296729673,42.6937249723098,0.526270102339181,0.473729897660819,3,3,"A"
175,8668304.31982265,7650894.93317369,10895000,9978000,96.25,39.3345486408819,0.524103640986127,0.475896359013873,2,3,"A"
176,8227888.01390854,7677878.08609151,10375000,10008000,96.25,45.6497141044939,0.525924185463659,0.474075814536341,5,0,"A"
177,8652015.76359545,7687537.49307746,10840000,10043000,96.25,45.4431025342459,0.525211127719261,0.474788872280739,3,3,"A"
178,8661504.27137895,7683652.06140983,10870000,10013000,96.25,45.0298793937501,0.526067773600668,0.473932226399332,0,2,"A"
179,8475968.22237786,7688652.34894899,10585000,10013000,96.25,42.7571521210228,0.52895761715663,0.47104238284337,5,2,"A"
180,8461844.32327814,7677878.08609151,10595000,10008000,96.25,45.6497141044939,0.525924185463659,0.474075814536341,3,0,"A"
181,8661504.27137895,7677878.08609151,10870000,10008000,96.25,45.6497141044939,0.525924185463659,0.474075814536341,0,0,"A"
182,8712557.14920464,7642572.70428823,10950000,9948000,96.25,46.4226709456325,0.528656924216135,0.471343075783865,3,0,"A"
183,8749723.33375577,7677878.08609151,1.1e+07,10008000,92.2997661114965,45.6497141044939,0.525399436090226,0.474600563909774,4,0,"A"
184,8416595.70022019,7677878.08609151,10520000,10008000,96.25,45.6497141044939,0.525924185463659,0.474075814536341,3,1,"A"
185,8661504.27137895,7677878.08609151,10870000,10008000,96.25,45.6497141044939,0.525924185463659,0.474075814536341,1,4,"A"
186,8661504.27137895,7677878.08609151,10870000,10008000,96.25,45.6497141044939,0.525924185463659,0.474075814536341,0,3,"A"
187,8661504.27137895,7750130.10264352,10870000,10088000,96.25,45.6497141044939,0.525924185463659,0.474075814536341,0,2,"A"
188,8708988.25935193,7623601.63472946,10935000,9933000,96.25,46.6237728740072,0.529174306128241,0.470825693871759,5,1,"A"
189,8419001.00581223,7641364.06355075,10590000,9953000,96.2186630080331,47.3436994121155,0.528334863759508,0.471665136240492,4,0,"A"
190,8661504.27137895,7677878.08609151,10870000,10008000,96.25,45.6497141044939,0.525924185463659,0.474075814536341,0,0,"A"
191,8711062.17641782,7649631.48884755,10935000,9973000,96.25,47.4738647013717,0.528524426961927,0.471475573038073,3,0,"A"
192,8692993.62189178,7716638.37744686,10905000,10038000,96.25,39.5715945774521,0.528851946720375,0.471148053279625,1,2,"A"
193,8670596.46741819,7628182.71393185,10870000,9953000,96.1371074115286,49.7475102477446,0.52565256195284,0.47434743804716,4,1,"A"
194,8559879.6726949,7763911.24872953,10760000,10098000,96.0467296729673,43.009677373548,0.521152598833574,0.478847401166426,1,3,"A"
195,8697894.19790716,7460669.77635469,10900000,9728000,95.4795991410165,58.7197916370831,0.526628227759929,0.473371772240071,3,6,"A"
196,8661504.27137895,7585605.5682646,10870000,9858000,96.1489148914891,45.6497141044939,0.525924185463659,0.474075814536341,2,3,"A"
197,8718623.11097836,7672368.15896222,10950000,10008000,96.1480354728386,48.1405313680384,0.52858259457766,0.47141740542234,2,2,"A"
198,8564814.36376121,7742667.38390219,10770000,10068000,96.25,39.9360640140865,0.523525831400009,0.476474168599991,1,2,"A"
199,8701186.29191581,7603197.02717665,10925000,9898000,96.2196174341844,46.6827719557335,0.527953092310169,0.472046907689831,4,3,"A"
200,8464270.97001289,7634864.15741337,10615000,9948000,92.3771659774673,45.4660593753846,0.523903799828964,0.476096200171036,4,2,"A"
201,8661504.27137895,7677878.08609151,10870000,10008000,96.25,45.6497141044939,0.525924185463659,0.474075814536341,0,2,"A"
202,8653006.80264531,7661143.30561177,10865000,9968000,96.1489148914891,46.278042846459,0.525491334188555,0.474508665811445,2,3,"A"
203,8661504.27137895,7677878.08609151,10870000,10008000,96.25,45.6497141044939,0.525924185463659,0.474075814536341,0,0,"A"
204,8661504.27137895,7677878.08609151,10870000,10008000,96.25,45.6497141044939,0.525924185463659,0.474075814536341,0,2,"A"
205,8533198.47028807,7802281.96015601,10705000,10173000,96.25,44.4789152064222,0.516973084098906,0.483026915901094,2,10,"A"
206,8511095.41088178,7646184.14763011,10705000,9968000,96.25,49.4745534066059,0.528359067832752,0.471640932167248,7,0,"A"
207,8785491.49054988,7463166.8738301,11045000,9713000,96.2266165592937,48.473405564549,0.536570999684384,0.463429000315616,8,2,"A"
