"simulation","final_npv_A","final_npv_B","total_profit_A","total_profit_B","avg_satisfaction_A","avg_satisfaction_B","avg_market_share_A","avg_market_share_B","n_shocks_A","n_shocks_B","winner"
30,10597413.0787829,9698806.88565251,13332000,12612000,96.25,33.1418680954971,0.52069984399343,0.47930015600657,0,10,"A"
31,10606841.1210211,9625671.74629371,13338000,12528000,96.25,41.0063971486183,0.519762577715258,0.480237422284742,0,3,"A"
32,10769653.0593831,9445083.58816738,13524000,12300000,96.25,44.019778383649,0.528735736588005,0.471264263411995,2,3,"A"
33,10852445.6439522,9609162.03975957,13638000,12486000,96.25,34.3754350655428,0.526127945741433,0.473872054258567,6,5,"A"
34,10386877.1342243,9504216.74101357,13116000,12390000,96.25,44.4330015241449,0.526067773600668,0.473932226399332,4,0,"A"
35,10832775.2159088,9573264.45652219,13548000,12504000,94.2690288713911,46.6778847519241,0.52116848961685,0.47883151038315,4,5,"A"
36,10693548.9677765,9422528.79813088,13422000,12240000,96.25,43.7842411935664,0.52300230836415,0.47699769163585,2,6,"A"
37,10790313.9873438,9518209.54744027,13530000,12450000,94.9201170117012,41.6745481759332,0.525542525131341,0.474457474868659,4,6,"A"
38,10762289.9582415,9504216.74101357,13512000,12390000,96.25,44.4330015241449,0.526067773600668,0.473932226399332,0,2,"A"
39,10688176.1692887,9335845.09962966,13404000,12144000,96.25,51.1531576306647,0.522889518983269,0.477110481016731,1,6,"A"
40,10896224.0126048,9537686.48897971,13656000,12438000,96.25,44.4330015241449,0.523912237742423,0.476087762257577,2,2,"A"
41,10808372.5872962,9454583.03426961,13566000,12330000,96.25,44.7084836178088,0.528454244427626,0.471545755572374,1,2,"A"
42,10952969.1537766,9467963.47527356,13782000,12342000,96.0573451045892,46.3418628648244,0.528744921014658,0.471255078985342,5,2,"A"
43,10762289.9582415,9421098.58125399,13512000,12288000,96.25,44.1460410099117,0.526067773600668,0.473932226399332,1,1,"A"
44,10829392.3520638,9443726.05160324,13584000,12330000,96.25,47.1419087785067,0.528534040972363,0.471465959027637,2,2,"A"
45,10752126.9093498,9522309.70843045,13458000,12468000,94.6262029746282,84.6054878683745,0.522276089910224,0.477723910089776,3,1,"A"
46,11032148.8941983,9392007.72568249,13848000,12234000,96.2266165592937,50.0390621302055,0.53075120185152,0.46924879814848,5,2,"A"
47,10819241.8628818,9458165.46020753,13584000,12330000,96.25,45.4775377959539,0.528834195774985,0.471165804225015,3,0,"A"
48,10684065.7729781,9571055.94276326,13416000,12474000,96.25,39.1333130397614,0.523115396881844,0.476884603118156,0,2,"A"
49,10714274.5549431,9533974.77389457,13440000,12438000,96.25,44.4330015241449,0.523083645205356,0.476916354794644,2,2,"A"
50,10692475.2883372,9509034.40306029,13428000,12396000,96.25,44.1689978510503,0.523896813514457,0.476103186485543,0,1,"A"
51,10825245.0044646,9303193.92775669,13608000,12126000,96.25,32.5093716218572,0.526736890020742,0.473263109979258,3,6,"A"
52,10704774.3427908,9607237.66976063,13440000,12540000,96.1489148914891,39.2825325071627,0.523901954923779,0.476098045076221,1,4,"A"
