"base_demand","mean_npv_A","mean_npv_B","sd_npv_A","sd_npv_B"
80,5873830.25393501,5485511.91524735,81995.3132554708,81608.8556482171
100,7763750.41062659,7058824.05826922,134342.73429465,109127.299200949
120,9694015.52842948,8748187.572522,143677.421759924,118320.215747866
140,11689954.7701176,9963082.56566186,173317.064573289,89510.4884181309
160,13261704.3939699,10596838.505123,128670.524381752,80444.9433533284
180,14077503.2240025,11008800.0221319,124764.058716231,76252.610099539
