"strategy","average_npv","rank"
"Forgiving_TfT",10784941.2273218,1
"Grim_Trigger",10326955.1129868,2
"Tit_for_Tat",10322527.6950028,3
"S3_Sabit",10003438.2687908,4
"Adaptive",9993704.96004834,5
"SatAware",9984411.99991242,6
"Seasonal",9906749.56125521,7
"S4_Sabit",9798273.95263944,8
"S2_Sabit",9604128.86265225,9
"S1_Sabit",2592782.9670309,10
