"burnout_threshold","mean_npv_A","mean_npv_B","mean_satisfaction_A","mean_satisfaction_B"
0.6,10679879.6087774,9396534.41215198,52.414128247556,25.1910703178179
0.65,10657148.9496677,9427109.72872938,62.8063924659816,29.6987442043728
0.7,10708804.8320654,9427610.48673358,86.1130357258309,33.9974848908227
0.75,10729038.1692978,9460488.62666344,96.051659770924,39.96253401426
0.8,10716141.7170087,9482932.89044324,96.0890825992048,53.2592723416187
0.85,10695383.9108872,9546983.55606536,96.1466537582949,92.6987318075205
0.9,10678370.5108641,9564749.37782997,96.2486358635864,96.40316898737
0.95,10671369.8587486,9587726.46965088,96.25,96.8719251796314
