"discount_rate","annual_rate","mean_npv_A","mean_npv_B","sd_npv_A","sd_npv_B"
0.01,0.12682503013197,11328065.7219983,10074062.8856724,165042.774242677,127567.450853
0.015,0.195618171461534,10453875.36133,9177319.29208141,139710.575913208,108639.583686791
0.02,0.268241794562545,9652869.2955272,8386631.98038996,137909.82679696,103726.93906024
0.025,0.344888824246297,8932567.30846122,7690519.51542572,111281.880799363,93606.7311083552
0.03,0.425760886846179,8316534.99367833,7070637.86693393,125599.936808358,90427.6836235248
